,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate,Deaths_y
6376,Females,Minnesota,60-64 yrs,2002,0,98195,0,0
6377,Males,Minnesota,65-69 yrs,2002,0,73555,0,0
6378,Females,Minnesota,65-69 yrs,2002,0,81157,0,0
6379,Males,Minnesota,70-74 yrs,2002,14,64385,21.74,15
6380,Females,Minnesota,70-74 yrs,2002,0,76566,0,0
6381,Males,Minnesota,75-79 yrs,2002,0,52936,0,15
6382,Females,Minnesota,75-79 yrs,2002,0,70766,0,0
6383,Males,Minnesota,80-84 yrs,2002,0,35584,0,12
6384,Females,Minnesota,80-84 yrs,2002,0,58555,0,0
6385,Males,Minnesota,85+ yrs,2002,0,25989,0,12
6386,Females,Minnesota,85+ yrs,2002,0,63349,0,0
6387,Males,Mississippi,00-04 yrs,2002,0,104363,0,0
6388,Females,Mississippi,00-04 yrs,2002,0,100128,0,0
6389,Males,Mississippi,05-09 yrs,2002,0,105165,0,0
6390,Females,Mississippi,05-09 yrs,2002,0,101302,0,0
6391,Males,Mississippi,10-14 yrs,2002,0,112506,0,0
6392,Females,Mississippi,10-14 yrs,2002,0,108252,0,0
6393,Males,Mississippi,15-19 yrs,2002,18,114741,15.69,20
6394,Females,Mississippi,15-19 yrs,2002,0,109580,0,0
6395,Males,Mississippi,20-24 yrs,2002,23,112727,20.4,27
6396,Females,Mississippi,20-24 yrs,2002,0,111640,0,0
6397,Males,Mississippi,25-29 yrs,2002,12,88708,13.53,18
6398,Females,Mississippi,25-29 yrs,2002,0,92490,0,0
6399,Males,Mississippi,30-34 yrs,2002,22,93173,23.61,32
6400,Females,Mississippi,30-34 yrs,2002,0,97794,0,0
6401,Males,Mississippi,35-39 yrs,2002,16,97112,16.48,26
6402,Females,Mississippi,35-39 yrs,2002,0,102454,0,0
6403,Males,Mississippi,40-44 yrs,2002,25,103850,24.07,37
6404,Females,Mississippi,40-44 yrs,2002,0,109888,0,0
6405,Males,Mississippi,45-49 yrs,2002,24,98525,24.36,35
6406,Females,Mississippi,45-49 yrs,2002,0,104270,0,0
6407,Males,Mississippi,50-54 yrs,2002,18,87415,20.59,20
6408,Females,Mississippi,50-54 yrs,2002,0,92197,0,0
6409,Males,Mississippi,55-59 yrs,2002,12,70906,16.92,16
6410,Females,Mississippi,55-59 yrs,2002,0,75857,0,0
6411,Males,Mississippi,60-64 yrs,2002,12,55542,21.61,14
6412,Females,Mississippi,60-64 yrs,2002,0,62696,0,0
6413,Males,Mississippi,65-69 yrs,2002,0,45481,0,0
6414,Females,Mississippi,65-69 yrs,2002,0,54424,0,0
6415,Males,Mississippi,70-74 yrs,2002,13,37245,34.9,14
6416,Females,Mississippi,70-74 yrs,2002,0,49352,0,0
6417,Males,Mississippi,75-79 yrs,2002,0,27853,0,0
6418,Females,Mississippi,75-79 yrs,2002,0,42121,0,0
6419,Males,Mississippi,80-84 yrs,2002,0,16707,0,0
6420,Females,Mississippi,80-84 yrs,2002,0,31135,0,0
6421,Males,Mississippi,85+ yrs,2002,0,11250,0,0
6422,Females,Mississippi,85+ yrs,2002,0,29832,0,0
6423,Males,Missouri,00-04 yrs,2002,0,189970,0,0
6424,Females,Missouri,00-04 yrs,2002,0,181794,0,0
6425,Males,Missouri,05-09 yrs,2002,0,196785,0,0
6426,Females,Missouri,05-09 yrs,2002,0,187545,0,0
6427,Males,Missouri,10-14 yrs,2002,0,213982,0,0
6428,Females,Missouri,10-14 yrs,2002,0,204264,0,0
6429,Males,Missouri,15-19 yrs,2002,24,213272,11.25,34
6430,Females,Missouri,15-19 yrs,2002,0,202060,0,0
6431,Males,Missouri,20-24 yrs,2002,24,198485,12.09,48
6432,Females,Missouri,20-24 yrs,2002,0,199909,0,0
6433,Males,Missouri,25-29 yrs,2002,22,172206,12.78,34
6434,Females,Missouri,25-29 yrs,2002,0,174185,0,0
6435,Males,Missouri,30-34 yrs,2002,22,189698,11.6,46
6436,Females,Missouri,30-34 yrs,2002,0,189937,0,0
6437,Males,Missouri,35-39 yrs,2002,28,204831,13.67,52
6438,Females,Missouri,35-39 yrs,2002,0,207126,0,15
6439,Males,Missouri,40-44 yrs,2002,54,223863,24.12,81
6440,Females,Missouri,40-44 yrs,2002,10,228277,4.38,19
6441,Males,Missouri,45-49 yrs,2002,30,205795,14.58,59
6442,Females,Missouri,45-49 yrs,2002,0,213006,0,23
6443,Males,Missouri,50-54 yrs,2002,42,179708,23.37,58
6444,Females,Missouri,50-54 yrs,2002,0,189425,0,12
6445,Males,Missouri,55-59 yrs,2002,24,147311,16.29,33
6446,Females,Missouri,55-59 yrs,2002,0,158566,0,0
6447,Males,Missouri,60-64 yrs,2002,21,116010,18.1,26
6448,Females,Missouri,60-64 yrs,2002,0,127353,0,10
6449,Males,Missouri,65-69 yrs,2002,22,96041,22.91,26
6450,Females,Missouri,65-69 yrs,2002,0,109499,0,0
6451,Males,Missouri,70-74 yrs,2002,26,82040,31.69,33
6452,Females,Missouri,70-74 yrs,2002,0,102666,0,0
6453,Males,Missouri,75-79 yrs,2002,11,65709,16.74,17
6454,Females,Missouri,75-79 yrs,2002,0,92151,0,0
6455,Males,Missouri,80-84 yrs,2002,14,41066,34.09,16
6456,Females,Missouri,80-84 yrs,2002,0,71226,0,0
6457,Males,Missouri,85+ yrs,2002,12,27577,43.51,13
6458,Females,Missouri,85+ yrs,2002,0,71487,0,0
6459,Males,Montana,00-04 yrs,2002,0,28117,0,0
6460,Females,Montana,00-04 yrs,2002,0,26483,0,0
6461,Males,Montana,05-09 yrs,2002,0,29944,0,0
6462,Females,Montana,05-09 yrs,2002,0,28592,0,0
6463,Males,Montana,10-14 yrs,2002,0,34842,0,0
6464,Females,Montana,10-14 yrs,2002,0,33199,0,0
6465,Males,Montana,15-19 yrs,2002,0,37541,0,11
6466,Females,Montana,15-19 yrs,2002,0,34800,0,0
6467,Males,Montana,20-24 yrs,2002,0,32970,0,14
6468,Females,Montana,20-24 yrs,2002,0,30195,0,0
6469,Males,Montana,25-29 yrs,2002,11,24762,44.42,14
6470,Females,Montana,25-29 yrs,2002,0,23141,0,0
6471,Males,Montana,30-34 yrs,2002,0,26590,0,12
6472,Females,Montana,30-34 yrs,2002,0,26336,0,0
6473,Males,Montana,35-39 yrs,2002,0,29393,0,11
6474,Females,Montana,35-39 yrs,2002,0,30092,0,0
6475,Males,Montana,40-44 yrs,2002,0,36584,0,12
6476,Females,Montana,40-44 yrs,2002,0,37324,0,0
6477,Males,Montana,45-49 yrs,2002,11,37568,29.28,18
6478,Females,Montana,45-49 yrs,2002,0,38099,0,0
6479,Males,Montana,50-54 yrs,2002,0,34442,0,11
6480,Females,Montana,50-54 yrs,2002,0,33027,0,0
6481,Males,Montana,55-59 yrs,2002,0,26969,0,13
6482,Females,Montana,55-59 yrs,2002,0,25942,0,0
6483,Males,Montana,60-64 yrs,2002,0,20510,0,0
6484,Females,Montana,60-64 yrs,2002,0,20409,0,0
6485,Males,Montana,65-69 yrs,2002,0,16505,0,0
6486,Females,Montana,65-69 yrs,2002,0,17147,0,0
6487,Males,Montana,70-74 yrs,2002,0,14293,0,0
6488,Females,Montana,70-74 yrs,2002,0,15946,0,0
6489,Males,Montana,75-79 yrs,2002,0,11037,0,0
6490,Females,Montana,75-79 yrs,2002,0,13712,0,0
6491,Males,Montana,80-84 yrs,2002,0,7639,0,0
6492,Females,Montana,80-84 yrs,2002,0,11295,0,0
6493,Males,Montana,85+ yrs,2002,0,5249,0,0
6494,Females,Montana,85+ yrs,2002,0,10973,0,0
6495,Males,Nebraska,00-04 yrs,2002,0,60810,0,0
6496,Females,Nebraska,00-04 yrs,2002,0,58384,0,0
6497,Males,Nebraska,05-09 yrs,2002,0,60985,0,0
6498,Females,Nebraska,05-09 yrs,2002,0,58464,0,0
6499,Males,Nebraska,10-14 yrs,2002,0,66105,0,0
6500,Females,Nebraska,10-14 yrs,2002,0,62748,0,0
6501,Males,Nebraska,15-19 yrs,2002,0,70086,0,11
6502,Females,Nebraska,15-19 yrs,2002,0,66606,0,0
6503,Males,Nebraska,20-24 yrs,2002,11,64563,17.04,13
6504,Females,Nebraska,20-24 yrs,2002,0,61225,0,0
6505,Males,Nebraska,25-29 yrs,2002,0,54711,0,15
6506,Females,Nebraska,25-29 yrs,2002,0,52233,0,0
6507,Males,Nebraska,30-34 yrs,2002,0,57400,0,14
6508,Females,Nebraska,30-34 yrs,2002,0,55464,0,0
6509,Males,Nebraska,35-39 yrs,2002,0,60580,0,13
6510,Females,Nebraska,35-39 yrs,2002,0,58931,0,0
6511,Males,Nebraska,40-44 yrs,2002,0,66889,0,24
6512,Females,Nebraska,40-44 yrs,2002,0,67212,0,0
6513,Males,Nebraska,45-49 yrs,2002,10,63921,15.64,15
6514,Females,Nebraska,45-49 yrs,2002,0,63878,0,0
6515,Males,Nebraska,50-54 yrs,2002,0,55979,0,16
6516,Females,Nebraska,50-54 yrs,2002,0,56312,0,0
6517,Males,Nebraska,55-59 yrs,2002,0,42852,0,11
6518,Females,Nebraska,55-59 yrs,2002,0,43074,0,0
6519,Males,Nebraska,60-64 yrs,2002,0,32199,0,0
6520,Females,Nebraska,60-64 yrs,2002,0,34482,0,0
6521,Males,Nebraska,65-69 yrs,2002,0,27201,0,0
6522,Females,Nebraska,65-69 yrs,2002,0,31148,0,0
6523,Males,Nebraska,70-74 yrs,2002,0,25010,0,0
6524,Females,Nebraska,70-74 yrs,2002,0,30297,0,0
6525,Males,Nebraska,75-79 yrs,2002,0,20641,0,0
6526,Females,Nebraska,75-79 yrs,2002,0,27347,0,0
6527,Males,Nebraska,80-84 yrs,2002,0,13593,0,0
6528,Females,Nebraska,80-84 yrs,2002,0,22490,0,0
6529,Males,Nebraska,85+ yrs,2002,0,9964,0,0
6530,Females,Nebraska,85+ yrs,2002,0,24508,0,0
6531,Males,Nevada,00-04 yrs,2002,0,80072,0,0
6532,Females,Nevada,00-04 yrs,2002,0,76216,0,0
6533,Males,Nevada,05-09 yrs,2002,0,79370,0,0
6534,Females,Nevada,05-09 yrs,2002,0,75554,0,0
6535,Males,Nevada,10-14 yrs,2002,0,79826,0,0
6536,Females,Nevada,10-14 yrs,2002,0,75815,0,0
6537,Males,Nevada,15-19 yrs,2002,0,71215,0,0
6538,Females,Nevada,15-19 yrs,2002,0,64644,0,0
6539,Males,Nevada,20-24 yrs,2002,12,74760,16.05,23
6540,Females,Nevada,20-24 yrs,2002,0,70851,0,0
6541,Males,Nevada,25-29 yrs,2002,15,78964,19,22
6542,Females,Nevada,25-29 yrs,2002,0,73412,0,0
6543,Males,Nevada,30-34 yrs,2002,15,88233,17,26
6544,Females,Nevada,30-34 yrs,2002,0,81458,0,0
6545,Males,Nevada,35-39 yrs,2002,13,89382,14.54,32
6546,Females,Nevada,35-39 yrs,2002,0,81580,0,0
6547,Males,Nevada,40-44 yrs,2002,20,88101,22.7,36
6548,Females,Nevada,40-44 yrs,2002,0,82123,0,14
6549,Males,Nevada,45-49 yrs,2002,17,79026,21.51,26
6550,Females,Nevada,45-49 yrs,2002,0,77168,0,12
6551,Males,Nevada,50-54 yrs,2002,23,70960,32.41,42
6552,Females,Nevada,50-54 yrs,2002,0,71205,0,0
6553,Males,Nevada,55-59 yrs,2002,22,61756,35.62,30
6554,Females,Nevada,55-59 yrs,2002,0,62518,0,13
6555,Males,Nevada,60-64 yrs,2002,12,49326,24.33,16
6556,Females,Nevada,60-64 yrs,2002,0,48618,0,0
6557,Males,Nevada,65-69 yrs,2002,16,39472,40.54,18
6558,Females,Nevada,65-69 yrs,2002,0,39275,0,0
6559,Males,Nevada,70-74 yrs,2002,14,31766,44.07,16
6560,Females,Nevada,70-74 yrs,2002,0,32855,0,0
6561,Males,Nevada,75-79 yrs,2002,15,22543,66.54,17
6562,Females,Nevada,75-79 yrs,2002,0,26595,0,0
6563,Males,Nevada,80-84 yrs,2002,0,12660,0,12
6564,Females,Nevada,80-84 yrs,2002,0,17129,0,0
6565,Males,Nevada,85+ yrs,2002,0,6595,0,0
6566,Females,Nevada,85+ yrs,2002,0,12748,0,0
6567,Males,New Hampshire,00-04 yrs,2002,0,38782,0,0
6568,Females,New Hampshire,00-04 yrs,2002,0,36761,0,0
6569,Males,New Hampshire,05-09 yrs,2002,0,44117,0,0
6570,Females,New Hampshire,05-09 yrs,2002,0,41491,0,0
6571,Males,New Hampshire,10-14 yrs,2002,0,49201,0,0
6572,Females,New Hampshire,10-14 yrs,2002,0,47001,0,0
6573,Males,New Hampshire,15-19 yrs,2002,0,46445,0,0
6574,Females,New Hampshire,15-19 yrs,2002,0,45136,0,0
6575,Males,New Hampshire,20-24 yrs,2002,0,37754,0,10
6576,Females,New Hampshire,20-24 yrs,2002,0,37197,0,0
6577,Males,New Hampshire,25-29 yrs,2002,0,33298,0,0
6578,Females,New Hampshire,25-29 yrs,2002,0,33301,0,0
6579,Males,New Hampshire,30-34 yrs,2002,0,43619,0,0
6580,Females,New Hampshire,30-34 yrs,2002,0,44127,0,0
6581,Males,New Hampshire,35-39 yrs,2002,0,51359,0,11
6582,Females,New Hampshire,35-39 yrs,2002,0,52636,0,0
6583,Males,New Hampshire,40-44 yrs,2002,0,57389,0,12
6584,Females,New Hampshire,40-44 yrs,2002,0,57971,0,0
6585,Males,New Hampshire,45-49 yrs,2002,0,52402,0,11
6586,Females,New Hampshire,45-49 yrs,2002,0,52749,0,0
6587,Males,New Hampshire,50-54 yrs,2002,0,45785,0,0
6588,Females,New Hampshire,50-54 yrs,2002,0,46067,0,0
6589,Males,New Hampshire,55-59 yrs,2002,0,36175,0,10
6590,Females,New Hampshire,55-59 yrs,2002,0,36403,0,0
6591,Males,New Hampshire,60-64 yrs,2002,0,25285,0,0
6592,Females,New Hampshire,60-64 yrs,2002,0,26011,0,0
6593,Males,New Hampshire,65-69 yrs,2002,0,19997,0,0
6594,Females,New Hampshire,65-69 yrs,2002,0,21584,0,0
6595,Males,New Hampshire,70-74 yrs,2002,0,16948,0,0
6596,Females,New Hampshire,70-74 yrs,2002,0,19878,0,0
6597,Males,New Hampshire,75-79 yrs,2002,0,12929,0,0
6598,Females,New Hampshire,75-79 yrs,2002,0,18001,0,0
6599,Males,New Hampshire,80-84 yrs,2002,0,8451,0,0
6600,Females,New Hampshire,80-84 yrs,2002,0,13787,0,0
6601,Males,New Hampshire,85+ yrs,2002,0,5473,0,0
6602,Females,New Hampshire,85+ yrs,2002,0,13579,0,0
6603,Males,New Jersey,00-04 yrs,2002,0,287542,0,0
6604,Females,New Jersey,00-04 yrs,2002,0,275236,0,0
6605,Males,New Jersey,05-09 yrs,2002,0,302146,0,0
6606,Females,New Jersey,05-09 yrs,2002,0,287844,0,0
6607,Males,New Jersey,10-14 yrs,2002,0,317116,0,0
6608,Females,New Jersey,10-14 yrs,2002,0,302350,0,0
6609,Males,New Jersey,15-19 yrs,2002,0,281970,0,16
6610,Females,New Jersey,15-19 yrs,2002,0,264550,0,0
6611,Males,New Jersey,20-24 yrs,2002,0,254386,0,29
6612,Females,New Jersey,20-24 yrs,2002,0,241688,0,0
6613,Males,New Jersey,25-29 yrs,2002,0,263556,0,38
6614,Females,New Jersey,25-29 yrs,2002,0,261151,0,12
6615,Males,New Jersey,30-34 yrs,2002,12,310316,3.87,38
6616,Females,New Jersey,30-34 yrs,2002,0,316643,0,0
6617,Males,New Jersey,35-39 yrs,2002,12,345985,3.47,29
6618,Females,New Jersey,35-39 yrs,2002,0,357772,0,0
6619,Males,New Jersey,40-44 yrs,2002,13,358177,3.63,48
6620,Females,New Jersey,40-44 yrs,2002,0,368346,0,13
6621,Males,New Jersey,45-49 yrs,2002,0,317914,0,41
6622,Females,New Jersey,45-49 yrs,2002,0,332542,0,16
6623,Males,New Jersey,50-54 yrs,2002,16,272869,5.86,45
6624,Females,New Jersey,50-54 yrs,2002,0,293644,0,17
6625,Males,New Jersey,55-59 yrs,2002,19,225967,8.41,46
6626,Females,New Jersey,55-59 yrs,2002,0,246583,0,0
6627,Males,New Jersey,60-64 yrs,2002,10,164855,6.07,23
6628,Females,New Jersey,60-64 yrs,2002,0,185621,0,0
6629,Males,New Jersey,65-69 yrs,2002,0,131653,0,13
6630,Females,New Jersey,65-69 yrs,2002,0,157008,0,0
6631,Males,New Jersey,70-74 yrs,2002,0,118820,0,12
6632,Females,New Jersey,70-74 yrs,2002,0,154900,0,0
6633,Males,New Jersey,75-79 yrs,2002,18,96255,18.7,20
6634,Females,New Jersey,75-79 yrs,2002,0,142675,0,0
6635,Males,New Jersey,80-84 yrs,2002,12,63423,18.92,19
6636,Females,New Jersey,80-84 yrs,2002,0,109658,0,0
6637,Males,New Jersey,85+ yrs,2002,12,40892,29.35,23
6638,Females,New Jersey,85+ yrs,2002,0,100590,0,0
6639,Males,New Mexico,00-04 yrs,2002,0,66939,0,0
6640,Females,New Mexico,00-04 yrs,2002,0,65021,0,0
6641,Males,New Mexico,05-09 yrs,2002,0,67671,0,0
6642,Females,New Mexico,05-09 yrs,2002,0,65238,0,0
6643,Males,New Mexico,10-14 yrs,2002,0,75074,0,0
6644,Females,New Mexico,10-14 yrs,2002,0,72590,0,0
6645,Males,New Mexico,15-19 yrs,2002,11,76775,14.33,19
6646,Females,New Mexico,15-19 yrs,2002,0,71516,0,0
6647,Males,New Mexico,20-24 yrs,2002,11,67750,16.24,21
6648,Females,New Mexico,20-24 yrs,2002,0,65321,0,0
6649,Males,New Mexico,25-29 yrs,2002,21,57170,36.73,28
6650,Females,New Mexico,25-29 yrs,2002,0,56448,0,0
6651,Males,New Mexico,30-34 yrs,2002,14,58580,23.9,24
6652,Females,New Mexico,30-34 yrs,2002,0,59123,0,0
6653,Males,New Mexico,35-39 yrs,2002,21,63591,33.02,34
6654,Females,New Mexico,35-39 yrs,2002,0,65640,0,0
6655,Males,New Mexico,40-44 yrs,2002,15,70452,21.29,28
6656,Females,New Mexico,40-44 yrs,2002,0,72676,0,13
6657,Males,New Mexico,45-49 yrs,2002,22,66678,32.99,32
6658,Females,New Mexico,45-49 yrs,2002,0,70018,0,0
6659,Males,New Mexico,50-54 yrs,2002,14,60555,23.12,26
6660,Females,New Mexico,50-54 yrs,2002,0,63464,0,0
6661,Males,New Mexico,55-59 yrs,2002,13,47949,27.11,21
6662,Females,New Mexico,55-59 yrs,2002,0,50849,0,0
6663,Males,New Mexico,60-64 yrs,2002,14,36659,38.19,15
6664,Females,New Mexico,60-64 yrs,2002,0,40259,0,0
6665,Males,New Mexico,65-69 yrs,2002,0,31044,0,0
6666,Females,New Mexico,65-69 yrs,2002,0,34028,0,0
6667,Males,New Mexico,70-74 yrs,2002,0,26304,0,0
6668,Females,New Mexico,70-74 yrs,2002,0,30163,0,0
6669,Males,New Mexico,75-79 yrs,2002,0,19599,0,10
6670,Females,New Mexico,75-79 yrs,2002,0,25164,0,0
6671,Males,New Mexico,80-84 yrs,2002,0,12550,0,0
6672,Females,New Mexico,80-84 yrs,2002,0,17964,0,0
6673,Males,New Mexico,85+ yrs,2002,0,8113,0,10
6674,Females,New Mexico,85+ yrs,2002,0,16374,0,0
6675,Males,New York,00-04 yrs,2002,0,620035,0,0
6676,Females,New York,00-04 yrs,2002,0,592186,0,0
6677,Males,New York,05-09 yrs,2002,0,654903,0,0
6678,Females,New York,05-09 yrs,2002,0,625839,0,0
6679,Males,New York,10-14 yrs,2002,0,703623,0,0
6680,Females,New York,10-14 yrs,2002,0,669978,0,0
6681,Males,New York,15-19 yrs,2002,12,673732,1.78,54
6682,Females,New York,15-19 yrs,2002,0,637559,0,13
6683,Males,New York,20-24 yrs,2002,38,650280,5.84,99
6684,Females,New York,20-24 yrs,2002,0,641499,0,20
6685,Males,New York,25-29 yrs,2002,27,622049,4.34,72
6686,Females,New York,25-29 yrs,2002,0,643458,0,23
6687,Males,New York,30-34 yrs,2002,31,694877,4.46,81
6688,Females,New York,30-34 yrs,2002,0,719067,0,15
6689,Males,New York,35-39 yrs,2002,38,740214,5.13,122
6690,Females,New York,35-39 yrs,2002,0,767314,0,23
6691,Males,New York,40-44 yrs,2002,37,751365,4.92,104
6692,Females,New York,40-44 yrs,2002,0,780899,0,25
6693,Males,New York,45-49 yrs,2002,34,676796,5.02,104
6694,Females,New York,45-49 yrs,2002,0,717522,0,29
6695,Males,New York,50-54 yrs,2002,30,603203,4.97,79
6696,Females,New York,50-54 yrs,2002,0,657851,0,25
6697,Males,New York,55-59 yrs,2002,32,484819,6.6,70
6698,Females,New York,55-59 yrs,2002,0,546893,0,10
6699,Males,New York,60-64 yrs,2002,21,365374,5.75,41
6700,Females,New York,60-64 yrs,2002,0,424067,0,0
6701,Males,New York,65-69 yrs,2002,24,296879,8.08,34
6702,Females,New York,65-69 yrs,2002,0,359081,0,11
6703,Males,New York,70-74 yrs,2002,17,261518,6.5,40
6704,Females,New York,70-74 yrs,2002,0,343227,0,0
6705,Males,New York,75-79 yrs,2002,22,208767,10.54,37
6706,Females,New York,75-79 yrs,2002,0,310528,0,0
6707,Males,New York,80-84 yrs,2002,0,134752,0,19
6708,Females,New York,80-84 yrs,2002,0,235749,0,0
6709,Males,New York,85+ yrs,2002,15,91687,16.36,26
6710,Females,New York,85+ yrs,2002,0,230210,0,12
6711,Males,North Carolina,00-04 yrs,2002,0,289964,0,0
6712,Females,North Carolina,00-04 yrs,2002,0,276956,0,0
6713,Males,North Carolina,05-09 yrs,2002,0,282815,0,0
6714,Females,North Carolina,05-09 yrs,2002,0,269330,0,0
6715,Males,North Carolina,10-14 yrs,2002,0,299627,0,0
6716,Females,North Carolina,10-14 yrs,2002,0,286940,0,0
6717,Males,North Carolina,15-19 yrs,2002,14,295252,4.74,24
6718,Females,North Carolina,15-19 yrs,2002,0,272653,0,0
6719,Males,North Carolina,20-24 yrs,2002,35,306187,11.43,56
6720,Females,North Carolina,20-24 yrs,2002,0,285973,0,0
6721,Males,North Carolina,25-29 yrs,2002,32,288063,11.11,62
6722,Females,North Carolina,25-29 yrs,2002,0,279530,0,0
6723,Males,North Carolina,30-34 yrs,2002,44,319874,13.76,76
6724,Females,North Carolina,30-34 yrs,2002,0,314644,0,17
6725,Males,North Carolina,35-39 yrs,2002,52,318644,16.32,88
6726,Females,North Carolina,35-39 yrs,2002,11,322004,3.42,26
6727,Males,North Carolina,40-44 yrs,2002,43,322161,13.35,86
6728,Females,North Carolina,40-44 yrs,2002,13,332109,3.91,30
6729,Males,North Carolina,45-49 yrs,2002,47,296572,15.85,71
6730,Females,North Carolina,45-49 yrs,2002,13,311461,4.17,35
6731,Males,North Carolina,50-54 yrs,2002,38,266091,14.28,54
6732,Females,North Carolina,50-54 yrs,2002,0,283084,0,18
6733,Males,North Carolina,55-59 yrs,2002,42,219677,19.12,54
6734,Females,North Carolina,55-59 yrs,2002,12,236442,5.08,20
6735,Males,North Carolina,60-64 yrs,2002,35,164824,21.23,38
6736,Females,North Carolina,60-64 yrs,2002,0,184141,0,14
6737,Males,North Carolina,65-69 yrs,2002,37,134877,27.43,41
6738,Females,North Carolina,65-69 yrs,2002,0,158921,0,0
6739,Males,North Carolina,70-74 yrs,2002,49,109746,44.65,57
6740,Females,North Carolina,70-74 yrs,2002,0,142135,0,0
6741,Males,North Carolina,75-79 yrs,2002,34,82912,41.01,37
6742,Females,North Carolina,75-79 yrs,2002,0,122975,0,0
6743,Males,North Carolina,80-84 yrs,2002,26,49709,52.3,29
6744,Females,North Carolina,80-84 yrs,2002,0,90212,0,0
6745,Males,North Carolina,85+ yrs,2002,10,29027,34.45,13
6746,Females,North Carolina,85+ yrs,2002,0,80669,0,0
6747,Males,North Dakota,00-04 yrs,2002,0,19321,0,0
6748,Females,North Dakota,00-04 yrs,2002,0,18367,0,0
6749,Males,North Dakota,05-09 yrs,2002,0,20696,0,0
6750,Females,North Dakota,05-09 yrs,2002,0,19741,0,0
6751,Males,North Dakota,10-14 yrs,2002,0,23411,0,0
6752,Females,North Dakota,10-14 yrs,2002,0,22004,0,0
6753,Males,North Dakota,15-19 yrs,2002,0,28137,0,0
6754,Females,North Dakota,15-19 yrs,2002,0,26127,0,0
6755,Males,North Dakota,20-24 yrs,2002,0,28982,0,0
6756,Females,North Dakota,20-24 yrs,2002,0,25140,0,0
6757,Males,North Dakota,25-29 yrs,2002,0,18637,0,0
6758,Females,North Dakota,25-29 yrs,2002,0,17057,0,0
6759,Males,North Dakota,30-34 yrs,2002,0,19289,0,0
6760,Females,North Dakota,30-34 yrs,2002,0,18210,0,0
6761,Males,North Dakota,35-39 yrs,2002,0,20986,0,0
6762,Females,North Dakota,35-39 yrs,2002,0,20741,0,0
6763,Males,North Dakota,40-44 yrs,2002,0,24790,0,11
6764,Females,North Dakota,40-44 yrs,2002,0,24669,0,0
6765,Males,North Dakota,45-49 yrs,2002,0,25090,0,10
6766,Females,North Dakota,45-49 yrs,2002,0,24177,0,0
6767,Males,North Dakota,50-54 yrs,2002,0,21599,0,0
6768,Females,North Dakota,50-54 yrs,2002,0,19999,0,0
6769,Males,North Dakota,55-59 yrs,2002,0,16161,0,0
6770,Females,North Dakota,55-59 yrs,2002,0,15850,0,0
6771,Males,North Dakota,60-64 yrs,2002,0,12257,0,0
6772,Females,North Dakota,60-64 yrs,2002,0,12739,0,0
6773,Males,North Dakota,65-69 yrs,2002,0,10843,0,0
6774,Females,North Dakota,65-69 yrs,2002,0,12162,0,0
6775,Males,North Dakota,70-74 yrs,2002,0,9928,0,0
6776,Females,North Dakota,70-74 yrs,2002,0,12005,0,0
6777,Males,North Dakota,75-79 yrs,2002,0,8460,0,0
6778,Females,North Dakota,75-79 yrs,2002,0,10631,0,0
6779,Males,North Dakota,80-84 yrs,2002,0,5863,0,0
6780,Females,North Dakota,80-84 yrs,2002,0,9047,0,0
6781,Males,North Dakota,85+ yrs,2002,0,4701,0,0
6782,Females,North Dakota,85+ yrs,2002,0,10351,0,0
6783,Males,Ohio,00-04 yrs,2002,0,380687,0,0
6784,Females,Ohio,00-04 yrs,2002,0,365500,0,0
6785,Males,Ohio,05-09 yrs,2002,0,399857,0,0
6786,Females,Ohio,05-09 yrs,2002,0,382294,0,0
6787,Males,Ohio,10-14 yrs,2002,0,431608,0,13
6788,Females,Ohio,10-14 yrs,2002,0,410009,0,0
6789,Males,Ohio,15-19 yrs,2002,18,415939,4.33,41
6790,Females,Ohio,15-19 yrs,2002,0,396233,0,0
6791,Males,Ohio,20-24 yrs,2002,53,386353,13.72,90
6792,Females,Ohio,20-24 yrs,2002,0,387731,0,12
6793,Males,Ohio,25-29 yrs,2002,44,344326,12.78,81
6794,Females,Ohio,25-29 yrs,2002,0,346201,0,15
6795,Males,Ohio,30-34 yrs,2002,36,384956,9.35,85
6796,Females,Ohio,30-34 yrs,2002,0,387612,0,24
6797,Males,Ohio,35-39 yrs,2002,47,409061,11.49,89
6798,Females,Ohio,35-39 yrs,2002,0,417720,0,20
6799,Males,Ohio,40-44 yrs,2002,55,450602,12.21,123
6800,Females,Ohio,40-44 yrs,2002,13,464414,2.8,44
6801,Males,Ohio,45-49 yrs,2002,60,428993,13.99,106
6802,Females,Ohio,45-49 yrs,2002,11,442703,2.48,35
6803,Males,Ohio,50-54 yrs,2002,46,378573,12.15,81
6804,Females,Ohio,50-54 yrs,2002,0,395860,0,29
6805,Males,Ohio,55-59 yrs,2002,45,295287,15.24,60
6806,Females,Ohio,55-59 yrs,2002,0,314033,0,20
6807,Males,Ohio,60-64 yrs,2002,29,226155,12.82,47
6808,Females,Ohio,60-64 yrs,2002,0,253420,0,12
6809,Males,Ohio,65-69 yrs,2002,35,183355,19.09,43
6810,Females,Ohio,65-69 yrs,2002,0,215719,0,0
6811,Males,Ohio,70-74 yrs,2002,44,164458,26.75,52
6812,Females,Ohio,70-74 yrs,2002,0,209735,0,0
