,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate,Deaths_y
90,Males,Arizona,45-49 yrs,1999,31,158726,19.53,56
91,Females,Arizona,45-49 yrs,1999,0,163841,0,15
92,Males,Arizona,50-54 yrs,1999,27,137500,19.64,39
93,Females,Arizona,50-54 yrs,1999,0,144700,0,24
94,Males,Arizona,55-59 yrs,1999,30,109102,27.5,40
95,Females,Arizona,55-59 yrs,1999,0,120209,0,14
96,Males,Arizona,60-64 yrs,1999,26,94340,27.56,28
97,Females,Arizona,60-64 yrs,1999,0,104097,0,0
98,Males,Arizona,65-69 yrs,1999,18,89859,20.03,20
99,Females,Arizona,65-69 yrs,1999,0,98389,0,0
100,Males,Arizona,70-74 yrs,1999,21,80805,25.99,25
101,Females,Arizona,70-74 yrs,1999,0,93661,0,0
102,Males,Arizona,75-79 yrs,1999,34,62549,54.36,40
103,Females,Arizona,75-79 yrs,1999,0,79267,0,0
104,Males,Arizona,80-84 yrs,1999,27,37336,72.32,31
105,Females,Arizona,80-84 yrs,1999,0,51946,0,0
106,Males,Arizona,85+ yrs,1999,12,22155,54.16,17
107,Females,Arizona,85+ yrs,1999,0,44045,0,0
108,Males,Arkansas,00-04 yrs,1999,0,92533,0,0
109,Females,Arkansas,00-04 yrs,1999,0,88594,0,0
110,Males,Arkansas,05-09 yrs,1999,0,96371,0,0
111,Females,Arkansas,05-09 yrs,1999,0,91756,0,0
112,Males,Arkansas,10-14 yrs,1999,0,99340,0,0
113,Females,Arkansas,10-14 yrs,1999,0,93689,0,0
114,Males,Arkansas,15-19 yrs,1999,16,102853,15.56,23
115,Females,Arkansas,15-19 yrs,1999,0,97269,0,0
116,Males,Arkansas,20-24 yrs,1999,18,90577,19.87,30
117,Females,Arkansas,20-24 yrs,1999,0,89045,0,0
118,Males,Arkansas,25-29 yrs,1999,15,88654,16.92,23
119,Females,Arkansas,25-29 yrs,1999,0,87684,0,0
120,Males,Arkansas,30-34 yrs,1999,12,87395,13.73,21
121,Females,Arkansas,30-34 yrs,1999,0,87562,0,11
122,Males,Arkansas,35-39 yrs,1999,17,98967,17.18,25
123,Females,Arkansas,35-39 yrs,1999,0,100929,0,0
124,Males,Arkansas,40-44 yrs,1999,19,96306,19.73,27
125,Females,Arkansas,40-44 yrs,1999,0,98680,0,0
126,Males,Arkansas,45-49 yrs,1999,14,87212,16.05,19
127,Females,Arkansas,45-49 yrs,1999,0,91129,0,0
128,Males,Arkansas,50-54 yrs,1999,10,79096,12.64,17
129,Females,Arkansas,50-54 yrs,1999,0,82606,0,0
130,Males,Arkansas,55-59 yrs,1999,15,64874,23.12,17
131,Females,Arkansas,55-59 yrs,1999,0,70390,0,0
132,Males,Arkansas,60-64 yrs,1999,0,55007,0,0
133,Females,Arkansas,60-64 yrs,1999,0,60746,0,0
134,Males,Arkansas,65-69 yrs,1999,11,48436,22.71,11
135,Females,Arkansas,65-69 yrs,1999,0,56325,0,0
136,Males,Arkansas,70-74 yrs,1999,0,40957,0,11
137,Females,Arkansas,70-74 yrs,1999,0,52218,0,0
138,Males,Arkansas,75-79 yrs,1999,20,31307,63.88,21
139,Females,Arkansas,75-79 yrs,1999,0,45026,0,0
140,Males,Arkansas,80-84 yrs,1999,0,19232,0,0
141,Females,Arkansas,80-84 yrs,1999,0,33233,0,0
142,Males,Arkansas,85+ yrs,1999,10,13298,75.2,12
143,Females,Arkansas,85+ yrs,1999,0,32564,0,0
144,Males,California,00-04 yrs,1999,0,1285758,0,0
145,Females,California,00-04 yrs,1999,0,1226389,0,0
146,Males,California,05-09 yrs,1999,0,1408253,0,0
147,Females,California,05-09 yrs,1999,0,1340635,0,0
148,Males,California,10-14 yrs,1999,0,1279635,0,17
149,Females,California,10-14 yrs,1999,0,1218255,0,0
150,Males,California,15-19 yrs,1999,51,1248484,4.08,86
151,Females,California,15-19 yrs,1999,10,1154633,0.87,21
152,Males,California,20-24 yrs,1999,100,1207242,8.28,193
153,Females,California,20-24 yrs,1999,0,1095927,0,26
154,Males,California,25-29 yrs,1999,77,1322659,5.82,178
155,Females,California,25-29 yrs,1999,13,1241325,1.05,48
156,Males,California,30-34 yrs,1999,95,1396298,6.8,226
157,Females,California,30-34 yrs,1999,20,1318261,1.52,63
158,Males,California,35-39 yrs,1999,118,1438823,8.2,259
159,Females,California,35-39 yrs,1999,25,1391548,1.8,73
160,Males,California,40-44 yrs,1999,103,1322124,7.79,231
161,Females,California,40-44 yrs,1999,23,1309691,1.76,84
162,Males,California,45-49 yrs,1999,117,1122016,10.43,235
163,Females,California,45-49 yrs,1999,32,1146993,2.79,95
164,Males,California,50-54 yrs,1999,102,942363,10.82,210
165,Females,California,50-54 yrs,1999,17,977938,1.74,54
166,Males,California,55-59 yrs,1999,92,686730,13.4,150
167,Females,California,55-59 yrs,1999,13,729172,1.78,41
168,Males,California,60-64 yrs,1999,68,536409,12.68,105
169,Females,California,60-64 yrs,1999,0,590736,0,24
170,Males,California,65-69 yrs,1999,68,458231,14.84,107
171,Females,California,65-69 yrs,1999,13,527374,2.47,25
172,Males,California,70-74 yrs,1999,96,396863,24.19,126
173,Females,California,70-74 yrs,1999,0,505536,0,25
174,Males,California,75-79 yrs,1999,96,324356,29.6,119
175,Females,California,75-79 yrs,1999,0,442332,0,24
