,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate_x,Deaths_y,Crude Rate_y
73,Females,Alaska,30-34 yrs,1999.0,0,23259,0.0,0,0.0
74,,Alaska,30-34 yrs,1999.0,0,48329,0.0,0,0.0
75,Males,Alaska,35-39 yrs,1999.0,0,29718,0.0,0,0.0
76,Females,Alaska,35-39 yrs,1999.0,0,28001,0.0,0,0.0
77,,Alaska,35-39 yrs,1999.0,0,57719,0.0,0,0.0
78,Males,Alaska,40-44 yrs,1999.0,0,30346,0.0,0,0.0
79,Females,Alaska,40-44 yrs,1999.0,0,28816,0.0,0,0.0
80,,Alaska,40-44 yrs,1999.0,0,59162,0.0,0,0.0
81,Males,Alaska,45-49 yrs,1999.0,0,27512,0.0,0,0.0
82,Females,Alaska,45-49 yrs,1999.0,0,25028,0.0,0,0.0
83,,Alaska,45-49 yrs,1999.0,0,52540,0.0,0,0.0
84,Males,Alaska,50-54 yrs,1999.0,0,21319,0.0,0,0.0
85,Females,Alaska,50-54 yrs,1999.0,0,18261,0.0,0,0.0
86,,Alaska,50-54 yrs,1999.0,0,39580,0.0,0,0.0
87,Males,Alaska,55-59 yrs,1999.0,0,14146,0.0,0,0.0
88,Females,Alaska,55-59 yrs,1999.0,0,12235,0.0,0,0.0
89,,Alaska,55-59 yrs,1999.0,0,26381,0.0,0,0.0
90,Males,Alaska,60-64 yrs,1999.0,0,9027,0.0,0,0.0
91,Females,Alaska,60-64 yrs,1999.0,0,7933,0.0,0,0.0
92,,Alaska,60-64 yrs,1999.0,0,16960,0.0,0,0.0
93,Males,Alaska,65-69 yrs,1999.0,0,6150,0.0,0,0.0
94,Females,Alaska,65-69 yrs,1999.0,0,6069,0.0,0,0.0
95,,Alaska,65-69 yrs,1999.0,0,12219,0.0,0,0.0
96,Males,Alaska,70-74 yrs,1999.0,0,4649,0.0,0,0.0
97,Females,Alaska,70-74 yrs,1999.0,0,4863,0.0,0,0.0
98,,Alaska,70-74 yrs,1999.0,0,9512,0.0,0,0.0
99,Males,Alaska,75-79 yrs,1999.0,0,2930,0.0,0,0.0
100,Females,Alaska,75-79 yrs,1999.0,0,3595,0.0,0,0.0
101,,Alaska,75-79 yrs,1999.0,0,6525,0.0,0,0.0
102,Males,Alaska,80-84 yrs,1999.0,0,1466,0.0,0,0.0
103,Females,Alaska,80-84 yrs,1999.0,0,2061,0.0,0,0.0
104,,Alaska,80-84 yrs,1999.0,0,3527,0.0,0,0.0
105,Males,Alaska,85+ yrs,1999.0,0,834,0.0,0,0.0
106,Females,Alaska,85+ yrs,1999.0,0,1627,0.0,0,0.0
107,,Alaska,85+ yrs,1999.0,0,2461,0.0,0,0.0
108,Males,Arizona,00-04 yrs,1999.0,0,192391,0.0,0,0.0
109,Females,Arizona,00-04 yrs,1999.0,0,183697,0.0,0,0.0
110,,Arizona,00-04 yrs,1999.0,0,376088,0.0,13,3.46
111,Males,Arizona,05-09 yrs,1999.0,0,194666,0.0,0,0.0
112,Females,Arizona,05-09 yrs,1999.0,0,185805,0.0,0,0.0
113,,Arizona,05-09 yrs,1999.0,0,380471,0.0,0,0.0
114,Males,Arizona,10-14 yrs,1999.0,0,186672,0.0,0,0.0
115,Females,Arizona,10-14 yrs,1999.0,0,177345,0.0,0,0.0
116,,Arizona,10-14 yrs,1999.0,0,364017,0.0,0,0.0
117,Males,Arizona,15-19 yrs,1999.0,41,186468,21.99,49,26.28
118,Females,Arizona,15-19 yrs,1999.0,10,173368,5.77,11,6.34
119,,Arizona,15-19 yrs,1999.0,51,359836,14.17,60,16.67
120,Males,Arizona,20-24 yrs,1999.0,51,184588,27.63,62,33.59
121,Females,Arizona,20-24 yrs,1999.0,11,166323,6.61,12,7.21
122,,Arizona,20-24 yrs,1999.0,62,350911,17.67,74,21.09
123,Males,Arizona,25-29 yrs,1999.0,57,193387,29.47,68,35.16
124,Females,Arizona,25-29 yrs,1999.0,0,178042,0.0,15,8.42
125,,Arizona,25-29 yrs,1999.0,S,371429,0.0,83,22.35
126,Males,Arizona,30-34 yrs,1999.0,28,190370,14.71,44,23.11
127,Females,Arizona,30-34 yrs,1999.0,0,176739,0.0,15,8.49
128,,Arizona,30-34 yrs,1999.0,S,367109,0.0,59,16.07
129,Males,Arizona,35-39 yrs,1999.0,28,199784,14.02,43,21.52
130,Females,Arizona,35-39 yrs,1999.0,0,193497,0.0,13,6.72
131,,Arizona,35-39 yrs,1999.0,S,393281,0.0,56,14.24
132,Males,Arizona,40-44 yrs,1999.0,13,184826,7.03,26,14.07
133,Females,Arizona,40-44 yrs,1999.0,0,183329,0.0,12,6.55
134,,Arizona,40-44 yrs,1999.0,S,368155,0.0,38,10.32
135,Males,Arizona,45-49 yrs,1999.0,11,158726,6.93,25,15.75
136,Females,Arizona,45-49 yrs,1999.0,0,163841,0.0,10,6.1
137,,Arizona,45-49 yrs,1999.0,S,322567,0.0,35,10.85
