,Sex,State,Age Group,Year,Population,Deaths SF,Crude Rate SF,Deaths SI,Crude Rate SI,Deaths HF,Crude Rate HF,Deaths HI,Crude Rate HI
56,Males,Alaska,50-54 yrs,1999,21319,0,0.0,0,0.0,0,0.0,0,0.0
57,Females,Alaska,50-54 yrs,1999,18261,0,0.0,0,0.0,0,0.0,0,0.0
58,Males,Alaska,55-59 yrs,1999,14146,0,0.0,0,0.0,0,0.0,0,0.0
59,Females,Alaska,55-59 yrs,1999,12235,0,0.0,0,0.0,0,0.0,0,0.0
60,Males,Alaska,60-64 yrs,1999,9027,0,0.0,0,0.0,0,0.0,0,0.0
61,Females,Alaska,60-64 yrs,1999,7933,0,0.0,0,0.0,0,0.0,0,0.0
62,Males,Alaska,65-69 yrs,1999,6150,0,0.0,0,0.0,0,0.0,0,0.0
63,Females,Alaska,65-69 yrs,1999,6069,0,0.0,0,0.0,0,0.0,0,0.0
64,Males,Alaska,70-74 yrs,1999,4649,0,0.0,0,0.0,0,0.0,0,0.0
65,Females,Alaska,70-74 yrs,1999,4863,0,0.0,0,0.0,0,0.0,0,0.0
66,Males,Alaska,75-79 yrs,1999,2930,0,0.0,0,0.0,0,0.0,0,0.0
67,Females,Alaska,75-79 yrs,1999,3595,0,0.0,0,0.0,0,0.0,0,0.0
68,Males,Alaska,80-84 yrs,1999,1466,0,0.0,0,0.0,0,0.0,0,0.0
69,Females,Alaska,80-84 yrs,1999,2061,0,0.0,0,0.0,0,0.0,0,0.0
70,Males,Alaska,85+ yrs,1999,834,0,0.0,0,0.0,0,0.0,0,0.0
71,Females,Alaska,85+ yrs,1999,1627,0,0.0,0,0.0,0,0.0,0,0.0
72,Males,Arizona,00-04 yrs,1999,192391,0,0.0,0,0.0,0,0.0,0,0.0
73,Females,Arizona,00-04 yrs,1999,183697,0,0.0,0,0.0,0,0.0,0,0.0
74,Males,Arizona,05-09 yrs,1999,194666,0,0.0,0,0.0,0,0.0,0,0.0
75,Females,Arizona,05-09 yrs,1999,185805,0,0.0,0,0.0,0,0.0,0,0.0
76,Males,Arizona,10-14 yrs,1999,186672,0,0.0,0,0.0,0,0.0,0,0.0
77,Females,Arizona,10-14 yrs,1999,177345,0,0.0,0,0.0,0,0.0,0,0.0
78,Males,Arizona,15-19 yrs,1999,186468,25,13.41,30,16.09,41,21.99,49,26.28
79,Females,Arizona,15-19 yrs,1999,173368,0,0.0,0,0.0,10,5.77,11,6.34
80,Males,Arizona,20-24 yrs,1999,184588,26,14.09,38,20.59,51,27.63,62,33.59
81,Females,Arizona,20-24 yrs,1999,166323,0,0.0,0,0.0,11,6.61,12,7.21
82,Males,Arizona,25-29 yrs,1999,193387,38,19.65,59,30.51,57,29.47,68,35.16
83,Females,Arizona,25-29 yrs,1999,178042,0,0.0,0,0.0,0,0.0,15,8.42
